Time (s),Thrust (lbf),Chamber (°C),Chamber (psi),Feedline (psi),Injector (psi),Ox Tank (psi)
1.06333,-104.9444,25.77665,-0.44414,656.47984,667.11833,666.78918
1.06667,-98.4394,25.83988,2.53531,656.1453,665.94737,664.11277
1.07,-101.0414,25.52373,2.36977,658.48716,668.12196,665.45094
1.07333,-102.3424,26.02959,0.21795,658.65443,667.62014,665.78549
1.07667,-97.13791,25.71342,0.38349,656.47984,666.78379,664.11277
1.08,-97.13791,25.39728,1.2111,658.82177,667.45287,667.62554
1.08333,-104.9444,25.33405,0.05243,656.98172,668.12196,666.78918
1.08667,-97.13791,25.77665,0.88006,657.48353,666.44924,663.94544
1.09,-102.3424,25.58696,2.86635,657.81808,667.62014,666.95645
1.09333,-93.23491,25.71342,-0.77518,657.14899,668.45656,667.79281
1.09667,-101.0414,25.77665,2.36977,657.48353,666.61652,665.45094
1.1,-99.7404,25.20759,0.54901,658.48716,669.46019,666.78918
1.10333,-101.0414,25.58696,1.37664,657.14899,665.7801,666.45464
1.10667,-112.7504,25.90311,2.20425,657.14899,666.95106,665.1164
1.11,-94.53591,26.09282,-0.44414,657.31626,667.95469,666.78918
1.11333,-103.6434,25.83988,0.54901,656.64718,665.94737,664.78186
1.11667,-108.8474,25.65019,2.53531,657.48353,667.2856,666.78918
1.12,-101.0414,25.71342,-0.44414,657.14899,666.11464,665.28367
1.12333,-98.4394,26.02959,2.53531,657.14899,667.2856,664.61459
1.12667,-98.4394,25.83988,0.71453,657.98535,667.45287,667.29099
1.13,-103.6434,25.52373,-0.11309,656.47984,666.44924,666.12003
1.13333,-110.1484,25.71342,1.2111,657.48353,665.94737,665.45094
1.13667,-103.6434,25.58696,2.20425,658.31989,668.28929,665.1164
1.14,-107.5464,25.58696,0.54901,656.98172,667.2856,666.78918
1.14333,-94.53591,25.96633,0.38349,658.15262,666.61652,664.11277
1.14667,-98.4394,25.77665,2.53531,656.81445,668.28929,664.78186
1.15,-104.9444,25.65019,1.54216,657.6508,667.45287,666.95645
1.15333,-99.7404,25.58696,-0.77518,656.1453,667.45287,666.62191
1.15667,-98.4394,25.65019,0.88006,656.81445,667.11833,665.28367
1.16,-111.4494,25.65019,-0.60966,656.1453,667.78742,666.78918
1.16333,-98.4394,25.71342,1.2111,657.14899,664.94374,665.95276
1.16667,-97.13791,25.90311,1.54216,657.81808,668.79111,667.45827
1.17,-93.23491,25.65019,-0.27861,656.47984,666.78379,666.45464
1.17333,-102.3424,25.65019,0.88006,659.15631,667.11833,664.78186
1.17667,-97.13791,25.90311,-0.44414,655.97803,668.45656,666.28737
1.18,-101.0414,25.83988,0.05243,657.14899,665.27828,666.78918
1.18333,-94.53591,25.96633,1.70768,657.6508,667.78742,666.45464
1.18667,-99.7404,25.90311,-0.60966,655.81076,665.94737,666.28737
1.19,-98.4394,25.96633,2.20425,656.64718,667.2856,665.78549
1.19333,-107.5464,25.65019,-0.60966,656.64718,667.62014,667.45827
1.19667,-99.7404,25.90311,1.54216,657.81808,665.94737,666.12003
1.2,-112.7504,25.33405,0.38349,657.98535,668.45656,667.12372
1.20333,-94.53591,25.77665,1.04558,656.81445,665.44555,665.78549
1.20667,-97.13791,25.71342,0.38349,657.6508,668.28929,665.45094
1.21,-94.53591,25.77665,0.05243,657.14899,667.11833,666.28737
1.21333,-107.5464,25.96633,2.36977,657.98535,666.44924,665.28367
1.21667,-101.0414,25.39728,0.54901,656.47984,667.62014,666.78918
1.22,-107.5464,25.71342,-0.11309,657.14899,665.7801,664.94913
1.22333,-97.13791,25.96633,1.70768,657.31626,667.62014,666.95645
1.22667,-98.4394,25.39728,-0.94072,655.47621,667.2856,667.79281
1.23,-106.2454,25.83988,0.54901,656.98172,666.44924,666.45464
1.23333,-97.13791,25.52373,-0.27861,656.98172,668.12196,666.45464
1.23667,-98.4394,25.20759,0.54901,656.1453,666.78379,665.61822
1.24,-104.9444,25.77665,2.20425,657.98535,667.11833,665.45094
1.24333,-97.13791,25.65019,0.05243,658.82177,667.62014,666.45464
1.24667,-102.3424,25.39728,-0.44414,656.1453,667.95469,666.62191
1.25,-91.93391,25.14434,-1.10624,655.97803,666.61652,666.28737
1.25333,-98.4394,25.96633,0.05243,655.97803,665.61282,664.78186
1.25667,-108.8474,25.77665,1.70768,657.98535,667.11833,665.45094
1.26,-106.2454,25.46051,-0.44414,656.81445,668.28929,666.78918
